FID,OBJECTID,Type,LotNum,SHAPE_Leng,SHAPE_Area,ParkingTyp,Shape__Area,Shape__Length
8,8, ,1,654.0876116,25468.09068, ,3650.867188,247.7477161
1,1, ,10,550.7470879,16203.32001, ,2322.632813,208.5655998
2,2, ,11,944.9276028,28098.75146, ,4027.617188,357.5347993
3,3, ,12,608.6997877,21688.38999, ,3108.714844,230.3656407
4,4, ,12a,386.488124,6866.181891, ,984.1484375,146.2511909
6,6, ,13,527.3920133,15812.69022, ,2266.496094,199.6066218
38,41, ,15,1164.234565,46670.84623, ,6689.277344,440.423198
39,42, ,15a,990.1046292,27351.37722, ,3920.296875,374.6509254
37,40, ,16,1077.027987,48072.93672, ,6890.125,407.3723173
9,9, ,17,528.6412412,17455.63168, ,2501.808594,200.1310552
34,37, ,17a,453.7142527,12388.84848, ,1775.609375,171.8126193
10,10, ,1a,750.7802929,34553.40226, ,4953.289063,284.2679132
12,12, ,2,541.0164973,18676.34678, ,2677.21875,204.8843438
33,36, ,21,1667.61992,173621.6859, ,24886.17578,631.3266712
19,19, ,22,4549.05148,394299.0094, ,56515.14844,1721.941942
21,21, ,24,274.9753511,4715.526837, ,675.9375,104.0985395
22,25, ,25,542.4082669,6554.281203, ,939.53125,205.5453874
23,26, ,25,437.7249581,4156.542775, ,595.8203125,165.5680012
20,20, ,26,631.2511338,11329.67032, ,1624.066406,238.7402811
24,27, ,27,828.65391,32393.82621, ,4643.503906,313.9059454
25,28, ,28,349.4966956,7165.072146, ,1027.066406,132.3573931
26,29, ,29,507.6841964,12604.52847, ,1806.773438,192.311629
11,11, ,2a,718.7754704,28293.69629, ,4055.902344,272.1999708
13,13, ,3,759.5667144,31125.30049, ,4461.707031,287.7404831
27,30, ,30,507.7825773,12258.81129, ,1757.226563,192.342697
28,31, ,31,586.8356369,15180.36558, ,2176.03125,222.0309539
29,32, ,32,1076.507022,32275.00988, ,4626.367188,407.3863281
30,33, ,33,556.5212025,13824.88139, ,1981.675781,210.8240953
31,34, ,34,531.8681597,13349.59417, ,1913.535156,201.4869182
32,35, ,35,770.9552042,34108.27171, ,4889,291.7860136
5,5, ,36,364.0933863,5755.111196, ,824.9335938,137.7627432
40,43, ,37,496.7577448,10046.51474, ,1440.023438,187.9457989
35,38, ,38,1114.773694,42114.28822, ,6036.234375,422.5664366
36,39, ,39,641.1905118,15821.06965, ,2267.585938,242.508996
14,14, ,4,833.1725077,38575.47098, ,5529.558594,315.5989115
15,15, ,5,824.0658529,37025.93818, ,5307.484375,312.1763803
18,18, ,6,938.1821155,44236.41249, ,6341.117188,355.4853603
17,17, ,7,1078.909316,52891.87787, ,7581.875,408.7853705
16,16, ,8,841.4480147,38194.27876, ,5475.085938,318.7871278
7,7, ,9,2036.265939,165680.8329, ,23750.92578,770.5690925
