X,Y,FID,OBJECTID,Id,Lot,Parking_Ty
-82.36787478,36.30041177,3867,4895,0,15,Undesignated
-82.36789632,36.30039214,3868,4896,0,15,Undesignated
-82.36792941,36.30037762,3869,4897,0,15,Undesignated
-82.36795083,36.30036037,3870,4898,0,15,Undesignated
-82.36797673,36.30034206,3871,4899,0,15,Undesignated
-82.36800541,36.30032741,3872,4900,0,15,Undesignated
-82.36803414,36.30031157,3873,4901,0,15,Undesignated
-82.36806281,36.30029692,3874,4902,0,15,Undesignated
-82.36808282,36.30027844,3875,4903,0,15,Undesignated
-82.36811738,36.30026397,3876,4905,0,15,Undesignated
-82.36814322,36.30024685,3877,4906,0,15,Undesignated
-82.36816912,36.30022854,3878,4907,0,15,Undesignated
-82.36819491,36.30021261,3879,4908,0,15,Undesignated
-82.36821906,36.30020021,3880,4909,0,15,Undesignated
-82.36824632,36.30018433,3881,4910,0,15,Undesignated
-82.36833659,36.30014409,3882,4911,0,15,Undesignated
-82.36835508,36.30012675,3883,4912,0,15,Undesignated
-82.36808247,36.30047886,3884,4913,0,15,Undesignated
-82.36811534,36.30046911,3885,4914,0,15,Undesignated
-82.36814102,36.30045556,3886,4915,0,15,Undesignated
-82.36817836,36.30044476,3887,4916,0,15,Undesignated
-82.36820715,36.30042773,3888,4917,0,15,Undesignated
-82.36822699,36.30041281,3889,4918,0,15,Undesignated
-82.36826292,36.30040077,3890,4919,0,15,Undesignated
-82.36828696,36.30039075,3891,4920,0,15,Undesignated
-82.36832011,36.30037505,3892,4921,0,15,Undesignated
-82.36834878,36.3003604,3893,4922,0,15,Undesignated
-82.36837593,36.3003469,3894,4923,0,15,Undesignated
-82.36840455,36.30033344,3895,4924,0,15,Undesignated
-82.3684347,36.30031884,3896,4926,0,15,Undesignated
-82.36846032,36.30030648,3897,4927,0,15,Undesignated
-82.36849467,36.30029678,3898,4928,0,15,Undesignated
-82.36852051,36.30027966,3899,4929,0,15,Undesignated
-82.36854913,36.3002662,3900,4930,0,15,Undesignated
-82.36858364,36.30025292,3901,4931,0,15,Undesignated
-82.36861226,36.30023947,3902,4932,0,15,Undesignated
-82.36864088,36.30022601,3903,4933,0,15,Undesignated
-82.3686695,36.30021255,3904,4934,0,15,Undesignated
-82.36870112,36.300198,3905,4935,0,15,Undesignated
-82.36872669,36.30018683,3906,4936,0,15,Undesignated
-82.36875962,36.30017589,3907,4937,0,15,Undesignated
-82.36878813,36.30016482,3908,4938,0,15,Undesignated
-82.36882269,36.30015035,3909,4939,0,15,Undesignated
-82.36884412,36.3001331,3910,4940,0,15,Undesignated
-82.36853382,36.30018223,3911,4941,0,15,Undesignated
-82.36859733,36.30014715,3912,4942,0,15,Undesignated
-82.36866629,36.30012179,3913,4943,0,15,Undesignated
-82.36873438,36.30008327,3914,4944,0,15,Undesignated
-82.36887715,36.30011977,3915,4945,0,15,Undesignated
-82.36891013,36.30010764,3916,4946,0,15,Undesignated
-82.36893881,36.30009299,3917,4947,0,15,Undesignated
-82.36896432,36.30008302,3918,4948,0,15,Undesignated
-82.36899589,36.30006965,3919,4949,0,15,Undesignated
-82.36902456,36.300055,3920,4950,0,15,Undesignated
-82.36905024,36.30004146,3921,4951,0,15,Undesignated
